3	7	5	2	6	46	21	1	32.663333333333334	30.23
8	8	8	2	23	84	96	1	37.22666666666667	33.46
7	1	0	0	53	68	60	2	46.123333333333335	22.756666666666664
7	4	9	0	86	67	99	4	69.37	37.63666666666667
4	8	8	1	78	90	38	3	57.696666666666665	37.49666666666667
6	4	4	2	75	35	10	4	64.2	44.866666666666674
1	1	4	2	99	33	100	1	37.77333333333333	27.04
5	2	4	2	23	1	77	1	33.79666666666667	29.096666666666664
4	6	9	0	16	78	86	3	56.78	32.11333333333333
3	4	10	0	29	43	24	5	74.14	41.60666666666667
5	9	10	1	56	2	0	1	32.413333333333334	28.48
10	4	3	2	55	9	0	1	32.723333333333336	31.256666666666668
3	4	10	0	29	38	37	1	33.75666666666667	20.956666666666667
9	0	4	0	68	68	80	1	38.1	20.23333333333333
3	5	6	1	13	53	67	2	44.95333333333334	30.186666666666667
2	9	10	1	62	30	57	1	35.75666666666667	27.79
9	10	0	0	11	66	9	1	33.64666666666667	22.113333333333333
10	1	9	2	33	51	60	2	45.73	37.59666666666667
5	10	7	1	46	35	94	5	75.94333333333334	47.443333333333335
4	0	7	2	89	97	62	4	68.69666666666667	44.09666666666667
1	6	8	2	72	44	23	5	74.83333333333333	50.2
4	1	8	2	53	52	49	1	35.75333333333333	29.953333333333333
4	10	6	0	50	2	64	3	54.806666666666665	32.60666666666667
3	10	6	2	69	48	39	5	75.88000000000001	52.01333333333333
2	2	1	2	4	18	0	4	61.17333333333333	42.10666666666667
6	9	8	2	32	73	77	2	46.656666666666666	38.256666666666675
4	3	5	2	60	49	86	2	46.58	34.08
1	3	8	0	47	74	93	4	67.56333333333333	34.43
2	8	5	2	19	88	7	5	74.13	50.33
0	8	5	0	49	70	1	2	44.74	25.07333333333333
4	8	9	2	92	39	64	2	46.65	37.15
8	3	7	1	3	34	19	3	52.446666666666665	36.58
3	5	3	2	84	3	60	2	45.75	34.516666666666666
1	6	4	2	33	36	97	3	55.82333333333333	38.95666666666667
6	3	1	2	76	31	2	4	64.57333333333334	44.273333333333326
7	4	8	1	57	97	22	5	76.10666666666667	46.57333333333333
3	7	8	0	83	56	26	2	45.82	26.32
3	9	7	0	79	29	74	3	56.92666666666666	32.193333333333335
6	5	10	1	4	14	88	4	64.20333333333333	42.67
4	4	10	2	60	98	54	5	78.05666666666666	51.99
3	5	5	1	7	30	82	5	74.54666666666667	44.91333333333333
8	10	6	1	87	82	90	2	49.513333333333335	33.88
1	5	7	2	14	30	67	2	43.830000000000005	34.46333333333333
9	10	8	0	93	34	33	1	35.40333333333333	24.07
4	5	8	0	36	100	49	3	56.63666666666666	31.136666666666667
6	10	2	2	46	13	64	4	64.25999999999999	46.16
5	10	1	1	9	44	14	5	72.99333333333334	46.09333333333333
0	9	6	2	57	71	36	4	65.87666666666667	45.41
10	9	7	1	98	11	7	3	54.25666666666667	39.056666666666665
3	3	3	2	57	92	0	5	75.50666666666667	48.54
8	8	5	0	20	83	42	4	65.12333333333335	37.29
6	2	2	2	32	45	58	1	34.66	28.493333333333336
0	1	0	0	0	67	39	5	74.24333333333333	36.04333333333333
4	10	7	2	51	99	10	2	46.243333333333325	37.91
9	1	9	2	75	39	98	4	67.66666666666666	46.93333333333333
2	1	8	1	90	16	48	4	66.10333333333332	39.63666666666667
9	9	10	1	63	31	35	2	45.29	35.32333333333334
9	10	2	2	67	92	3	1	36.04	32.64
3	8	8	2	97	24	56	4	66.41000000000001	46.84333333333333
7	0	9	0	44	66	30	2	45.35666666666667	26.023333333333333
4	1	4	2	56	99	45	4	66.70666666666666	43.04
7	3	5	0	71	17	2	2	43.57	25.57
8	10	6	0	100	78	2	4	66.82	38.82
8	9	1	2	78	84	4	1	35.873333333333335	31.34
4	9	2	2	9	76	79	5	76.36666666666667	50.9
